Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7828575,2019-10-16 17:20:06,2018-09-13 20:45:50,37586621,3758662100,37586621,100,1901,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828575.sralite.1,SRX4679544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773332,SAMN10058615,simple,9606,Homo sapiens,GSM3389367,,,,,,,no,,,,,GEO,SRA575769,,public,CCA1B2A8CE9BC2B94A99E848902843FF,D2CBE159D4C9025DEF7D04D8629CB201
SRR7828576,2019-10-16 17:20:06,2018-09-13 20:44:51,37514010,3751401000,37514010,100,1834,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828576.sralite.1,SRX4679545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773333,SAMN10058613,simple,9606,Homo sapiens,GSM3389368,,,,,,,no,,,,,GEO,SRA575769,,public,2CC5E2D9DEA3F085C59CC39B178D60ED,4D6D10348D4F7B4FEB07C8440B608832
SRR7828570,2019-10-16 17:20:06,2018-09-13 20:42:41,35856632,3585663200,35856632,100,1697,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/828/SRR7828570.sralite.1,SRX4679539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773334,SAMN10058621,simple,9606,Homo sapiens,GSM3389362,,,,,,,no,,,,,GEO,SRA575769,,public,DC3D8C3A93999FF3C6F27769B91E0927,E64D2B7AAB128C91215E74C9FF665164
SRR7828571,2019-10-16 17:20:06,2018-09-13 20:45:19,32347607,3234760700,32347607,100,1475,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828571.sralite.1,SRX4679540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773327,SAMN10058619,simple,9606,Homo sapiens,GSM3389363,,,,,,,no,,,,,GEO,SRA575769,,public,04CAA5215ACB971CEB5FC19E0090FDE0,A015DD1453A3B902F3D7A472333B71F0
SRR7828572,2019-10-16 17:20:06,2018-09-13 20:43:01,31890916,3189091600,31890916,100,1506,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828572.sralite.1,SRX4679541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773328,SAMN10058618,simple,9606,Homo sapiens,GSM3389364,,,,,,,no,,,,,GEO,SRA575769,,public,06835A0D6F4C9C6BB2FDB8CD522D56C6,03BC35ECAC59B8A726312904B854709D
SRR7828573,2019-10-16 17:20:06,2018-09-13 20:43:58,43247592,4324759200,43247592,100,2000,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/828/SRR7828573.sralite.1,SRX4679542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773330,SAMN10058617,simple,9606,Homo sapiens,GSM3389365,,,,,,,no,,,,,GEO,SRA575769,,public,5843D3838673EC6F18D14E7B5411D77A,B1EF8416BD866E0F45CEBE8FD6235290
SRR7828574,2019-10-16 17:20:06,2018-09-13 20:44:24,35915255,3591525500,35915255,100,1644,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828574.sralite.1,SRX4679543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773331,SAMN10058616,simple,9606,Homo sapiens,GSM3389366,,,,,,,no,,,,,GEO,SRA575769,,public,377AB039C7C74A13C5FDAB952EE1C572,9D1F126D747F0459A9A9273E7B1039D9
SRR7828565,2019-10-16 17:20:06,2018-09-13 20:44:04,32047046,3204704600,32047046,100,1471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828565.sralite.1,SRX4679534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773321,SAMN10058626,simple,9606,Homo sapiens,GSM3389357,,,,,,,no,,,,,GEO,SRA575769,,public,9C029B9FF4F0CB93D5D73E54C3B2FE00,121BF484561432DC3AAD8AE86F9AADA2
SRR7828566,2019-10-16 17:20:06,2018-09-13 20:45:54,40355699,4035569900,40355699,100,2004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/828/SRR7828566.sralite.1,SRX4679535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773322,SAMN10058625,simple,9606,Homo sapiens,GSM3389358,,,,,,,no,,,,,GEO,SRA575769,,public,76659DA3D7778A008772DA08DB20CE10,FD7494B27FBE52F434CB488E256C78B2
SRR7828567,2019-10-16 17:20:06,2018-09-13 20:42:39,34954611,3495461100,34954611,100,1657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/828/SRR7828567.sralite.1,SRX4679536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP109627,PRJNA390893,,390893,SRS3773323,SAMN10058624,simple,9606,Homo sapiens,GSM3389359,,,,,,,no,,,,,GEO,SRA575769,,public,3DD4D238D9DC1B5887F65811E7EE0ABF,F5182BE749DE05AA56BC9C509CF96C05
