Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR22373272,2023-01-26 14:36:29,2022-11-22 10:47:38,30153986,6091105172,30153986,202,1819,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373272/SRR22373272.lite.1,SRX18343834,GSM6751327,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832923,SAMN31834502,simple,9606,Homo sapiens,GSM6751327,,,,,,,no,,,,,CHLA,SRA1545210,,public,859977C58138A1C4AD4B81CC2BC7C112,FEA1B36908480EC00CBF210E24B9B374
SRR22373270,2023-01-26 14:36:29,2022-11-22 11:04:32,24727528,4994960656,24727528,202,1483,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373270/SRR22373270.lite.1,SRX18343835,GSM6751328,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832922,SAMN31834501,simple,9606,Homo sapiens,GSM6751328,,,,,,,no,,,,,CHLA,SRA1545210,,public,F9C9719C844438ACB38424494A28218C,D6C0CB956D934CDCC7AE2F86996FF062
SRR22373269,2023-01-26 14:36:29,2022-11-22 11:15:57,31973838,6458715276,31973838,202,1923,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373269/SRR22373269.lite.1,SRX18343836,GSM6751329,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832924,SAMN31834500,simple,9606,Homo sapiens,GSM6751329,,,,,,,no,,,,,CHLA,SRA1545210,,public,BC21E327D7BCC2DB0613C75222EE3FA6,398AAB13E50418726B6EB9D682450E8D
SRR22373268,2023-01-26 14:36:29,2022-11-22 10:36:05,22779278,4601414156,22779278,202,1388,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373268/SRR22373268.lite.1,SRX18343837,GSM6751330,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832925,SAMN31834499,simple,9606,Homo sapiens,GSM6751330,,,,,,,no,,,,,CHLA,SRA1545210,,public,8E137E56154827E25CB638E66942DABD,E2763A13D574FB2FA122A77521CB1730
SRR22373271,2023-01-26 14:36:29,2022-11-22 11:07:18,37258033,7526122666,37258033,202,2228,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373271/SRR22373271.lite.1,SRX18343838,GSM6751331,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832926,SAMN31834498,simple,9606,Homo sapiens,GSM6751331,,,,,,,no,,,,,CHLA,SRA1545210,,public,335D0F726B9BDC7BEDA501DAED76E5EF,CFF1FF5FD075A3C81061F9EA264F4064
SRR22373277,2023-01-26 14:36:29,2022-11-22 11:19:45,31503420,6363690840,31503420,202,1918,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373277/SRR22373277.lite.1,SRX18343829,GSM6751322,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832917,SAMN31834507,simple,9606,Homo sapiens,GSM6751322,,,,,,,no,,,,,CHLA,SRA1545210,,public,28B8AF10B86543BBB9E7383D02BC5554,43B9D3942AE6215AEBBD563D53A4D312
SRR22373276,2023-01-26 14:36:29,2022-11-22 10:51:37,28390434,5734867668,28390434,202,1713,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373276/SRR22373276.lite.1,SRX18343830,GSM6751323,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832918,SAMN31834506,simple,9606,Homo sapiens,GSM6751323,,,,,,,no,,,,,CHLA,SRA1545210,,public,1AEB992D2C7D0AB8AC45861A4818333F,B8D66F4C5C631D41A533374BBD482029
SRR22373275,2023-01-26 14:36:29,2022-11-22 10:50:54,36279233,7328405066,36279233,202,2169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373275/SRR22373275.lite.1,SRX18343831,GSM6751324,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832919,SAMN31834505,simple,9606,Homo sapiens,GSM6751324,,,,,,,no,,,,,CHLA,SRA1545210,,public,E2A7DD21CDAAFC25025B58AE62A201F1,55CA0F6EBF14D8F69DFB5D66D128571A
SRR22373274,2023-01-26 14:36:29,2022-11-22 11:03:50,35969104,7265759008,35969104,202,2153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373274/SRR22373274.lite.1,SRX18343832,GSM6751325,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832920,SAMN31834504,simple,9606,Homo sapiens,GSM6751325,,,,,,,no,,,,,CHLA,SRA1545210,,public,CC8DD776DBF0030AB7FFC4004DC0D4E6,8CFF3F66FF14A3FFBDD07B7A0B337AD5
SRR22373273,2023-01-26 14:36:29,2022-11-22 11:21:19,33501788,6767361176,33501788,202,1997,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22373/SRR22373273/SRR22373273.lite.1,SRX18343833,GSM6751326,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP409177,PRJNA904244,3,904244,SRS15832921,SAMN31834503,simple,9606,Homo sapiens,GSM6751326,,,,,,,no,,,,,CHLA,SRA1545210,,public,888848AE946A36DAD427253B7224BADA,36703A0A1783A700B9E1ED68BC2FBE72
