Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR17011027,2023-08-01 20:18:03,2021-11-23 00:48:04,41277105,12061439753,41277105,292,5050,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR017/17011/SRR17011027/SRR17011027.lite.1,SRX13201177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127827,SAMN23391503,simple,9606,Homo sapiens,GSM5700148,,,,,,,no,,,,,GEO,SRA1333377,,public,2F4AB04072FEAE90E09D486F88F0BB57,27EAB5AE216BF3DFC2FB2758FB4B9B94
SRR17011028,2023-08-01 20:18:03,2021-11-22 21:45:35,70905984,20675859457,70905984,291,8688,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011028/SRR17011028.lite.1,SRX13201178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127828,SAMN23391532,simple,9606,Homo sapiens,GSM5700149,,,,,,,no,,,,,GEO,SRA1333377,,public,9B456E2082446494EDF4FBF210D51A65,008B900EC0BCB8A0F5BA98565885A9EB
SRR17011029,2023-08-01 20:18:03,2021-11-22 21:26:59,51734595,15011318619,51734595,290,6460,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011029/SRR17011029.lite.1,SRX13201179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127829,SAMN23391533,simple,9606,Homo sapiens,GSM5700150,,,,,,,no,,,,,GEO,SRA1333377,,public,787A88291DD2F82B415A5C3BC92DBD45,441D52C61A1F06E22BA10DC5085092CB
SRR17011030,2023-08-01 20:18:03,2021-11-22 21:19:15,48666516,14154797928,48666516,290,5972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011030/SRR17011030.lite.1,SRX13201180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127830,SAMN23391504,simple,9606,Homo sapiens,GSM5700151,,,,,,,no,,,,,GEO,SRA1333377,,public,3DA61950FE066FC96EA6810FB7FD5B3C,9B9A43C1E2B2652067C32A0547EA582A
SRR17011031,2023-08-01 20:18:03,2021-11-22 21:47:08,72228234,21084402801,72228234,291,8905,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011031/SRR17011031.lite.1,SRX13201181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127831,SAMN23391505,simple,9606,Homo sapiens,GSM5700152,,,,,,,no,,,,,GEO,SRA1333377,,public,45A8C916C2B5F3281B91AFCC45A41A6C,E830AAEBBD72E489193960DFF348DEEF
SRR17011022,2023-08-01 20:18:03,2021-11-22 21:15:42,27668199,7943981460,27668199,287,3172,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011022/SRR17011022.lite.1,SRX13201172,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127822,SAMN23391534,simple,9606,Homo sapiens,GSM5700143,,,,,,,no,,,,,GEO,SRA1333377,,public,2AC86F3A173C0F1EF073252C76A270B7,63BAAF4487E265C266FE13BFE1A6DE3E
SRR17011023,2023-08-01 20:18:03,2021-11-22 21:04:39,26567778,7533942348,26567778,283,2957,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011023/SRR17011023.lite.1,SRX13201173,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127823,SAMN23391535,simple,9606,Homo sapiens,GSM5700144,,,,,,,no,,,,,GEO,SRA1333377,,public,03C2C94AC661B0CB5462782F7DF52C45,961D6AA919B8583644DF5C173AD6E0D6
SRR17011024,2023-08-01 20:18:03,2021-11-22 21:37:48,60700341,17644481800,60700341,290,7433,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR017/17011/SRR17011024/SRR17011024.lite.1,SRX13201174,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127824,SAMN23391500,simple,9606,Homo sapiens,GSM5700145,,,,,,,no,,,,,GEO,SRA1333377,,public,3E295354117E3188858FF601BDCC4CC5,DF4E7A942FA45C48927B42849D2418ED
SRR17011025,2023-08-01 20:18:03,2021-11-22 21:15:16,35097638,10221132492,35097638,291,4291,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR017/17011/SRR17011025/SRR17011025.lite.1,SRX13201175,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127825,SAMN23391501,simple,9606,Homo sapiens,GSM5700146,,,,,,,no,,,,,GEO,SRA1333377,,public,7337753F51194CE7A3375972848CAEA6,F90E98A285657B6618624323B7A8D39D
SRR17011026,2023-08-01 20:18:03,2021-11-22 22:10:17,67244816,19563309488,67244816,290,8700,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17011/SRR17011026/SRR17011026.lite.1,SRX13201176,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP347311,PRJNA782665,3,782665,SRS11127826,SAMN23391502,simple,9606,Homo sapiens,GSM5700147,,,,,,,no,,,,,GEO,SRA1333377,,public,16957DD17E2CA815C3AD8A3BBD3CB0C2,213F16C6C9C5EB9029028ABB1E83ACEA
